Name,CBO,NOC,WMC,RFC,NPRM,NPROM,NPM,LOC,DIT,LCOM,Changes
com.example.CounterImpl,2,0,2,14,0,0,2,18,0,50,No
com.example.ExtraRunnableModule,5,0,3,15,0,0,3,47,0,0,No
com.example.ExtraRunnableModule.InvokeCounts,0,0,1,13,0,0,0,9,0,50,No
com.example.ReloadAwareModule,0,0,0,12,0,0,0,4,0,0,No
com.example.ReloadModule,3,0,1,13,0,0,1,7,0,0,No
com.yahoo.platform.yui.compressor.CssCompressor,9,0,4,16,1,1,2,305,0,50,No
kaptcha.demo.pages.KaptchaBeanEditFormDemo,6,0,1,13,0,0,0,15,0,66,No
kaptcha.demo.pages.KaptchaDemo,3,0,1,13,0,0,0,10,0,0,No
org.apache.tapestry5.AbstractOptionModel,1,2,2,14,0,0,2,11,0,0,No
org.apache.tapestry5.ajax.MultiZoneUpdate,6,0,7,19,1,0,6,47,0,71,No
org.apache.tapestry5.alerts.Alert,7,0,6,18,0,0,6,53,0,63,No
org.apache.tapestry5.alerts.AlertStorage,5,0,6,25,0,0,6,95,1,16,No
org.apache.tapestry5.BaseOptimizedSessionPersistedObject,4,4,3,15,1,1,1,16,0,50,No
org.apache.tapestry5.BaseValidationDecorator,2,0,6,18,0,0,6,21,0,0,No
org.apache.tapestry5.beaneditor.DataTypeConstants,1,0,0,12,0,0,0,11,0,0,No
org.apache.tapestry5.beanvalidator.integration.TapestryBeanValidationIntegrationTests,3,0,8,207,0,0,8,155,2,75,No
org.apache.tapestry5.beanvalidator.modules.BeanValidatorModule,19,0,7,19,0,0,7,128,0,100,No
org.apache.tapestry5.BindingConstants,1,0,0,12,0,0,0,15,0,0,No
org.apache.tapestry5.BlockNotFoundException,2,0,2,50,0,0,2,14,0,50,No
org.apache.tapestry5.cdi.BeanHelper,8,0,7,19,2,0,5,76,0,42,No
org.apache.tapestry5.cdi.BeanInstance,0,0,5,17,0,0,5,24,0,53,No
org.apache.tapestry5.cdi.CDIInjectionProvider,24,0,4,16,1,0,3,85,0,65,No
org.apache.tapestry5.cdi.CDIInjectionProvider.ShutdownCleanUpListener,2,0,2,14,0,0,2,13,0,0,No
org.apache.tapestry5.cdi.CDIInjectModule,10,0,3,15,0,0,3,15,0,0,No
org.apache.tapestry5.cdi.CDIObjectProvider,6,0,1,13,0,0,1,12,0,0,No
org.apache.tapestry5.cdi.extension.BeanManagerHolder,0,0,2,14,0,1,1,10,0,0,No
org.apache.tapestry5.cdi.extension.TapestryExtension,3,0,1,13,0,1,0,13,0,0,No
org.apache.tapestry5.cdi.internal.utils.InternalUtils,21,0,3,15,1,0,2,64,0,55,No
org.apache.tapestry5.cdi.test.beans.BrownieImpl,1,0,5,17,0,0,5,18,0,30,No
org.apache.tapestry5.cdi.test.beans.Counter,1,1,2,14,0,0,2,13,0,50,No
org.apache.tapestry5.cdi.test.beans.CounterService,1,0,0,14,0,0,0,4,1,0,No
org.apache.tapestry5.cdi.test.beans.DessertFactory,8,0,2,14,0,0,2,22,0,0,No
org.apache.tapestry5.cdi.test.beans.DessertImpl,1,0,5,17,0,0,5,19,0,30,No
org.apache.tapestry5.cdi.test.beans.IceCreamImpl,1,0,5,17,0,0,5,18,0,30,No
org.apache.tapestry5.cdi.test.beans.Menu,3,0,2,14,0,0,1,14,0,0,No
org.apache.tapestry5.cdi.test.beans.NamedPojo,1,0,2,14,0,0,2,8,0,0,No
org.apache.tapestry5.cdi.test.beans.Pojo,1,0,2,14,0,0,2,8,0,0,No
org.apache.tapestry5.cdi.test.beans.Soup,1,0,4,16,0,0,4,15,0,25,No
org.apache.tapestry5.cdi.test.beans.StatefulEJBBeanImpl,0,0,3,15,0,0,3,12,0,0,No
org.apache.tapestry5.cdi.test.beans.StatelessEJBBeanImpl,1,0,1,13,0,0,1,5,0,0,No
org.apache.tapestry5.cdi.test.beans.Stereotyped,1,0,5,17,0,0,5,19,0,30,No
org.apache.tapestry5.cdi.test.beans.Vegetable,3,0,6,18,0,0,6,32,0,55,No
org.apache.tapestry5.cdi.test.beans.ws.HelloWorldServiceImpl,1,0,2,14,0,0,2,8,0,0,No
org.apache.tapestry5.cdi.test.components.DumbComponent,2,0,0,12,0,0,0,8,0,0,No
org.apache.tapestry5.cdi.test.InjectTest,28,0,19,31,6,0,13,229,0,78,No
org.apache.tapestry5.cdi.test.pages.DessertPage,12,0,5,17,0,0,5,56,0,76,No
org.apache.tapestry5.cdi.test.pages.InvalidateSessionPage,2,0,1,13,0,0,1,7,0,0,No
org.apache.tapestry5.cdi.test.pages.RequestScopePage,2,0,1,13,0,0,1,12,0,50,No
org.apache.tapestry5.cdi.test.pages.SessionScopePage,2,0,1,13,0,0,1,14,0,0,No
org.apache.tapestry5.cdi.test.pages.SomePage,0,0,0,12,0,0,0,2,0,0,No
org.apache.tapestry5.cdi.test.pages.StatefulPage,5,0,2,14,0,0,2,12,0,50,No
org.apache.tapestry5.cdi.test.pages.StereotypePage,2,0,2,14,0,0,2,16,0,0,No
org.apache.tapestry5.cdi.test.pages.VegetablePage,2,0,1,13,0,0,1,11,0,0,No
org.apache.tapestry5.cdi.test.pages.WSPage,3,0,1,13,0,0,1,10,0,0,No
